Height,Canopy,Yield
18.75,0.53,56.8
17.54,0.84,59.9
8.38,0.52,48.6
12.91,0.61,55.6
12.72,0.48,55.2
15.97,0.84,58.1
9.27,0.6,53.5
9.36,0.38,52.2
17.95,0.55,56.6
18.64,0.75,57.6
17.56,0.22,48
16.61,0.4,53.9
17.73,0.7,56.5
8.86,0.28,51
16.4,0.39,54.6
19.25,0.86,58.8
17.16,0.71,58.8
15.64,0.51,53.2
12,0.51,56.7
16.59,0.46,54.3
12.93,0.61,56.1
18.68,0.36,52.6
16.9,0.45,54.6
13.65,0.87,57.6
17.78,0.6,55.4
15.17,0.63,54.6
13.13,0.45,55.5
18.41,0.33,51
17.67,0.69,56.7
9.29,0.33,51.9
12.05,0.4,53.7
15.84,0.66,56.1
12.9,0.55,53.3
7.78,0.36,51.2
14.67,0.65,54.5
12.11,0.71,51.3
10.6,0.36,53.4
11.4,0.44,51.6
18.28,0.84,54.4
12.05,0.68,53.6
14.29,0.54,52.9
15.76,1,58.9
16.56,0.92,57.8
12.18,0.68,52.1
13.87,0.49,54.6
16.56,0.45,53.6
14.67,0.76,58.7
12.56,0.41,49.1
13.21,0.44,49.9
16,0.72,54
18.84,1,58.1
7.79,0.29,48.2
17.27,0.67,56.5
19.35,0.54,57
15.2,0.8,58.8
10.76,0.42,56.1
18.29,0.99,59.7
12.37,0.66,54.5
12.53,0.7,56.7
17.27,0.8,58.6
12.13,0.54,52.3
16.5,0.71,56.6
18.02,0.58,54.3
14.96,0.54,54.1
