Height val,Canopy val
12.53,0.46
10.43,0.48
10.66,0.48
11.08,0.48
12.19,0.48
14.84,0.48
11.18,0.49
14.72,0.49
11.38,0.5
13.29,0.5
17.87,0.5
19.3,0.5
13.28,0.51
14.13,0.51
11.13,0.53
14.49,0.53
15.68,0.53
15.72,0.53
16.4,0.53
19.32,0.53
13.28,0.55
14.49,0.55
14.6,0.55
16.47,0.55
16.97,0.55
14.83,0.56
17.23,0.56
19.22,0.56
15.47,0.57
17.01,0.57
18.56,0.57
15.41,0.58
15.86,0.58
16.41,0.58
16.17,0.59
12.96,0.6
13.66,0.6
14.36,0.6
11.33,0.61
14.71,0.61
16.07,0.61
11.6,0.62
13.46,0.62
14.92,0.63
15.08,0.63
18.88,0.63
16.25,0.64
17.22,0.64
18.76,0.64
10.81,0.65
13.14,0.65
11.16,0.66
16.33,0.66
14.77,0.67
16.15,0.67
15.77,0.68
17.32,0.68
16.51,0.69
18.24,0.69
18.9,0.69
12.02,0.7
13.69,0.7
11.48,0.71
11.75,0.71
19.39,0.71
17.47,0.72
11.19,0.73
14.83,0.73
15,0.73
15.48,0.74
10.74,0.75
13.7,0.75
11.92,0.76
14.26,0.76
14.62,0.76
15.31,0.76
15.54,0.77
17.94,0.77
19.38,0.77
11.18,0.78
17.64,0.78
16.08,0.79
19.02,0.79
19.31,0.79
10.99,0.8
12.74,0.8
14.22,0.8
16.17,0.8
16.51,0.8
16.77,0.8
11.09,0.81
13.59,0.81
15.55,0.81
15.72,0.81
11,0.82
11.34,0.82
12.9,0.82
13.49,0.82
11.34,0.83
11.47,0.83
12.57,0.84
13.7,0.84
17.55,0.84
17.65,0.84
17.75,0.84
18.08,0.84
18.84,0.84
11.13,0.85
16.39,0.85
12.55,0.86
12.65,0.86
14.63,0.86
14.94,0.86
15.49,0.86
15.72,0.86
18.13,0.86
10.36,0.87
15.76,0.87
11.44,0.88
12.13,0.88
14.3,0.88
18.08,0.88
10.59,0.89
14.47,0.89
12.86,0.9
13.15,0.9
13.45,0.9
11.13,0.91
13.83,0.91
16.59,0.91
16.88,0.91
16.88,0.91
17.49,0.91
17.71,0.91
18.38,0.91
15.56,0.92
17.51,0.92
18.35,0.92
11.77,0.93
14.07,0.93
14.27,0.93
14.43,0.93
10.39,0.94
18.52,0.94
17.32,0.95
11.46,0.96
12.98,0.96
17.45,0.96
12.2,0.97
18.01,0.97
11.18,0.98
13.51,0.98
17.65,0.98
18.7,0.98
14.07,0.99
16.47,0.99
16.84,0.99
13.13,1
13.71,1
14.29,1
15.9,1
