Height_Actual,Height,Yield,Canopy
8.2677,7.4747,48.182,0.27074
8.9111,9.0105,51.233,0.30501
9.3051,9.0052,53.145,0.32702
10.458,10.676,53.176,0.33005
11.985,11.257,53.188,0.35364
12.612,13.416,54.737,0.37047
12.662,12.478,55.063,0.42114
12.708,13.62,55.902,0.46095
13.831,13.53,56.134,0.47708
13.919,13.495,56.461,0.48132
14.19,14.324,58.497,0.51066
15.844,15.395,61.816,0.81713
16.58,16.716,62.114,0.87755
19.972,20.17,62.845,0.92593
8.1195,8.309,48.104,0.2004
8.2798,8.3242,48.275,0.20943
8.4888,8.4691,51.362,0.28271
9.057,8.7188,52.984,0.31923
11.468,11.171,54.568,0.34783
12.435,13.159,55.029,0.40685
12.847,11.904,55.099,0.4256
13.456,13.016,56.786,0.56294
13.63,13.768,57.188,0.69295
13.661,13.861,58.112,0.83425
15.9,15.676,58.374,0.89456
16.006,16.133,59.456,0.95549
16.593,16.468,63.939,0.96924
19.446,19.86,63.97,0.98091
8.2023,8.3826,48.461,0.31692
9.0087,8.7808,49.444,0.32885
9.8138,8.8012,51,0.36649
10.707,10.892,51.909,0.40556
10.95,11.87,52.775,0.48357
12.01,12.232,53.775,0.50686
13.011,12.877,53.964,0.60785
17.521,18.254,54.192,0.65165
17.795,17.855,56.523,0.67986
18.092,18.864,57.251,0.71747
18.845,18.97,58.92,0.76092
18.889,19.193,58.924,0.81834
19.348,20.087,62.212,0.82537
19.637,19.984,63.797,0.83504
9.4212,10.523,48.491,0.32238
11.652,11.103,50.249,0.32387
12.294,11.73,51.685,0.38447
12.334,12.876,51.802,0.419
13.239,13.021,52.374,0.41979
14.029,14.053,52.45,0.44927
15.303,15.739,55.224,0.49253
16.478,16.608,55.894,0.61867
16.702,16.669,56.675,0.62099
17.312,17.507,58.139,0.76041
17.378,16.929,60.196,0.86592
18.734,18.713,60.498,0.92404
18.745,19.305,62.15,0.94712
19.425,19.578,63.131,0.99564
8.0905,9.2924,48.235,0.23067
9.0479,9.5896,48.634,0.26982
9.3185,10.1,50.88,0.31274
10.588,10.688,53.353,0.33493
12.738,12.189,54.247,0.43508
13.922,13.623,56.94,0.4754
14.23,14.909,57.703,0.57736
14.666,14.219,59.159,0.58826
15.003,15.402,59.268,0.60372
16.088,16.363,60.46,0.68296
17.475,17.032,61.182,0.68714
18.467,18.903,63.937,0.82852
18.701,18.16,64.228,0.93016
19.224,19.305,64.373,0.98889
8.9206,8.5254,49.488,0.23122
9.2463,9.3698,49.697,0.28349
9.2834,9.2301,50.024,0.29722
9.589,8.9286,52.554,0.31626
9.8101,10.287,54.301,0.43209
10.028,10.517,54.349,0.57588
12.205,12.396,54.755,0.59074
12.325,12.178,55.012,0.62608
14.175,13.33,57.007,0.63576
14.799,14.411,57.791,0.68453
15.767,15.901,57.826,0.72806
17.094,17.151,57.932,0.80362
17.847,17.828,60.206,0.85387
18.416,18.482,62.264,0.87244
8.726,9.247,48.67,0.27134
9.3961,9.8255,50.007,0.30543
10.058,9.3285,51.181,0.41324
12.098,12.099,52.247,0.45905
12.151,11.246,52.733,0.4726
15.098,15.995,52.89,0.48848
15.109,15.815,53.278,0.5001
15.744,16.308,55.631,0.52686
17.104,17.238,56.984,0.60065
