Height,Canopy,Yield
10.127,0.27074,48.182
8.8839,0.30501,51.233
11.909,0.32702,53.145
10.282,0.33005,53.176
13.376,0.35364,53.188
12.943,0.37047,54.737
14.785,0.42114,55.063
16.036,0.46095,55.902
16.576,0.47708,56.134
14.4,0.48132,56.461
17.761,0.51066,58.497
14.489,0.81713,61.816
18.514,0.87755,62.114
19.461,0.92593,62.845
11.942,0.2004,48.104
13.355,0.20943,48.275
13.267,0.28271,51.362
13.199,0.31923,52.984
14.239,0.34783,54.568
15.194,0.40685,55.029
16.684,0.4256,55.099
18.829,0.56294,56.786
18.01,0.69295,57.188
19.59,0.83425,58.112
19.855,0.89456,58.374
18.456,0.95549,59.456
18.823,0.96924,63.939
21.479,0.98091,63.97
7.4002,0.31692,48.461
8.0996,0.32885,49.444
8.2375,0.36649,51
11.698,0.40556,51.909
13.536,0.48357,52.775
11.796,0.50686,53.775
14.794,0.60785,53.964
15.696,0.65165,54.192
17.893,0.67986,56.523
15.359,0.71747,57.251
16.635,0.76092,58.92
18.818,0.81834,58.924
18.656,0.82537,62.212
18.783,0.83504,63.797
7.0519,0.32238,48.491
11.56,0.32387,50.249
10.063,0.38447,51.685
9.9607,0.419,51.802
14.001,0.41979,52.374
12.052,0.44927,52.45
13.16,0.49253,55.224
14.603,0.61867,55.894
18.287,0.62099,56.675
17.101,0.76041,58.139
16.484,0.86592,60.196
17.477,0.92404,60.498
16.504,0.94712,62.15
20.133,0.99564,63.131
9.9776,0.23067,48.235
10.175,0.26982,48.634
12.923,0.31274,50.88
13.139,0.33493,53.353
13.822,0.43508,54.247
14.764,0.4754,56.94
12.376,0.57736,57.703
14.059,0.58826,59.159
15.398,0.60372,59.268
16.789,0.68296,60.46
19.628,0.68714,61.182
15.722,0.82852,63.937
18.95,0.93016,64.228
18.28,0.98889,64.373
6.7976,0.23122,49.488
8.772,0.28349,49.697
9.1601,0.29722,50.024
9.5208,0.31626,52.554
8.4748,0.43209,54.301
8.8698,0.57588,54.349
8.1446,0.59074,54.755
9.5842,0.62608,55.012
11.979,0.63576,57.007
15.059,0.68453,57.791
15.801,0.72806,57.826
14.918,0.80362,57.932
18.448,0.85387,60.206
17.882,0.87244,62.264
8.3656,0.27134,48.67
9.8765,0.30543,50.007
8.7343,0.41324,51.181
8.9463,0.45905,52.247
10.201,0.4726,52.733
11.58,0.48848,52.89
12.089,0.5001,53.278
12.848,0.52686,55.631
19.963,0.60065,56.984
15.995,0.7395,58.422
19.531,0.84738,59.057
18.368,0.91113,59.937
17.784,0.97247,63.939
16.272,0.97699,64.042
9.7107,0.25365,48.665
8.7271,0.32761,49.048
9.6536,0.34237,49.265
11.807,0.40125,49.285
12.982,0.42018,53.402
15.026,0.52135,53.534
14.948,0.55834,56.908
13.047,0.5685,58.521
15.529,0.61531,59.279
16.119,0.64475,60.287
19.543,0.67122,61.305
18.388,0.70967,61.772
19.185,0.71054,62.419
18.21,0.76057,62.458
6.5344,0.2439,48.073
7.1665,0.30876,49.208
13.033,0.39889,49.593
14.358,0.41702,49.774
11.091,0.46306,49.928
12.64,0.56296,55.584
13.35,0.57827,58.159
12.854,0.60582,58.723
14.79,0.63367,58.954
16.396,0.67737,61.926
15.867,0.68668,61.99
16.831,0.71485,62.482
16.428,0.84698,62.861
19.969,0.86335,64.264
10.139,0.20624,48.517
9.606,0.22058,48.996
9.351,0.27935,49.301
10.229,0.30865,49.916
13.252,0.45249,49.935
12.99,0.47583,51.016
13.718,0.53031,53.369
13.818,0.60071,55.708
16.304,0.69523,57.716
14.797,0.75035,59.026
17.168,0.75929,61.86
18.497,0.77646,62.941
19.908,0.83314,63.854
20.377,0.98259,64.91
8.6835,0.34778,48.615
10.138,0.48002,49.406
7.7515,0.53535,49.547
10.61,0.54925,50.908
12.776,0.63046,51.498
11.441,0.65812,51.964
15.827,0.80896,52.326
16.209,0.85324,52.732
15.67,0.90984,52.972
13.533,0.93425,53.386
