Height,Canopy
8.9089,0.22095
7.7096,0.31436
9.8608,0.34536
10.2,0.37851
9.9187,0.44648
12.626,0.54226
13.386,0.54464
14.961,0.56006
14.638,0.69073
16.656,0.75135
15.789,0.84953
16.599,0.85821
18.069,0.94989
17.323,0.95248
9.0082,0.21098
11.483,0.31669
10.67,0.33271
11.71,0.4578
15.089,0.5547
13.817,0.62546
14.432,0.64382
17.872,0.67081
17.275,0.72068
16.586,0.72324
16.669,0.87751
16.438,0.89701
18.924,0.95535
19.682,0.9752
8.6246,0.38136
7.8098,0.38225
10.59,0.47383
9.1302,0.48084
10.151,0.52257
9.8236,0.57559
11.638,0.62426
11.697,0.79783
10.475,0.80247
14.403,0.80304
15.339,0.87533
15.577,0.88225
14.163,0.9191
18.481,0.94074
7.5383,0.2491
7.493,0.25598
10.012,0.31845
9.4082,0.33418
11.639,0.40267
12.648,0.41809
12.952,0.50932
16.178,0.58033
15.336,0.69978
15.446,0.7434
16.489,0.82458
17.521,0.84861
15.646,0.91953
18.665,0.98456
12.332,0.26181
12.239,0.27506
12.741,0.29467
12.291,0.32136
12.142,0.32492
15.492,0.36665
16.026,0.45898
16.491,0.46394
15.591,0.57711
17.566,0.66307
18.459,0.66409
17.336,0.74888
21.548,0.91507
22.615,0.99346
8.8696,0.23203
9.3051,0.24929
9.1685,0.31593
8.3109,0.34086
11.164,0.36938
11.919,0.37205
13.897,0.4083
13.432,0.44074
13.99,0.5193
17.544,0.55748
16.785,0.60938
17.202,0.79208
17.643,0.84821
21.33,0.9863
9.2152,0.20836
7.5421,0.23028
10.969,0.27112
10.136,0.28037
9.5927,0.45636
14.52,0.47792
16.734,0.53183
15.841,0.61136
16.742,0.63328
19.289,0.66115
17.488,0.71155
17.429,0.75502
20.695,0.77423
20.274,0.84649
7.1848,0.26008
9.6084,0.46111
9.6241,0.50386
11.284,0.51602
10.209,0.63566
12.279,0.68161
17.582,0.69627
16.443,0.71447
15.485,0.71464
16.232,0.73814
17.416,0.74512
18.123,0.7607
17.471,0.8883
17.954,0.98088
9.8536,0.23029
8.7735,0.26939
10.532,0.39821
13.378,0.40769
12.15,0.4593
14.175,0.50713
14.847,0.62048
12.376,0.652
15.562,0.67853
16.369,0.78902
17.081,0.7938
18.864,0.91678
16.554,0.9202
18.358,0.96882
8.0814,0.31019
8.0972,0.32612
9.9465,0.33797
10.129,0.37362
11.427,0.44232
11.573,0.4493
12.835,0.45866
15.304,0.66191
11.428,0.67768
16.119,0.68119
17.119,0.7309
15.829,0.74561
19.05,0.77555
17.259,0.85336
7.7526,0.23688
8.5887,0.32756
10.978,0.38787
10.275,0.42148
8.8624,0.45434
10.637,0.46924
13.566,0.47554
15.1,0.48864
15.71,0.50674
14.192,0.50691
17.344,0.52328
16.733,0.58127
18.422,0.59887
21.72,0.95597
8.4779,0.30733
12.118,0.35072
11.682,0.42566
9.6857,0.47106
9.502,0.57143
12.642,0.57574
12.368,0.59859
14.114,0.62762
15.024,0.66618
15.957,0.66756
15.817,0.79101
17.448,0.80921
18.333,0.90659
20.307,0.93951
11.461,0.3899
12.53,0.42866
12.152,0.44799
12.161,0.45485
13.274,0.52991
14.25,0.54529
15.087,0.60796
15.775,0.80245
14.443,0.84987
15.573,0.86076
15.912,0.86148
17.823,0.8953
18.309,0.90409
18.646,0.91007
10.917,0.22149
11.371,0.26742
12.791,0.27584
12.784,0.31577
13.502,0.4919
14.319,0.51047
13.459,0.55556
15.473,0.65558
13.754,0.69426
16.869,0.71303
18.451,0.77819
18.454,0.83285
19.338,0.85346
18.89,0.94116
8.2216,0.24407
9.0825,0.26814
10.717,0.30113
12.147,0.35936
14.659,0.57994
12.467,0.65476
14.467,0.65524
12.928,0.72247
16.047,0.81419
15.638,0.84096
18.728,0.89862
20.259,0.97008
20.603,0.98908
18.763,0.98961
10.353,0.22168
9.3315,0.24543
10.648,0.28158
10.338,0.3231
10.622,0.35971
11.6,0.37234
14.924,0.38835
13.783,0.40628
13.434,0.4451
13.96,0.4988
17.926,0.55266
14.894,0.84406
17.539,0.90772
20.1,0.93903
